Počet zdravých
10600000
10600000
10599999
10599999
10599998
10599997
10599996
10599995
10599993
10599991
10599986
10599981
10599975
10599968
10599957
10599949
10599940
10599925
10599907
10599880
10599857
10599829
10599796
10599751
10599706
10599660
10599609
10599550
10599476
10599392
10599305
10599193
10599049
10598889
10598690
10598505
10598262
10598071
10597730
10597458
10597017
10596644
10596103
10595615
10594872
10594231
10593476
10592712
10591827
10590846
10589818
10588622
10587301
10585864
10584258
10582476
10580498
10578348
10575890
10573181
10570231
10566904
10563351
10559322
10554934
10550002
10544519
10538428
10531766
10524194
10515877
10506656
10496445
10485095
10472256
10458481
10443104
10426128
10407189
10385966
10362646
10336866
10308569
10277032
10242406
10204612
10162749
10116586
10065616
10009788
9948571
9881103
9807470
9726912
9639211
9543858
9440517
9327934
9206579
9075397
8934969
8783822
8621895
8450818
8268736
8075448
7872472
7660319
7438763
7209373
6973138
6730373
6482628
6231186
5977589
5722745
5468614
5216243
4967403
4722458
4483361
4251494
4026707
3810533
3602627
3403407
3213340
3032627
2860736
2697848
2543402
2397223
2258166
2126743
2002136
1884138
1772098
1666518
1565343
1470181
1379790
1294198
1212958
1135744
1063282
993901
928613
867403
810398
736913
687670
625035
617961
561940
511180
465041
460309
455698
426768
389883
348445
311765
285867
256185
230057
206960
186874
173111
157364
146997
134851
130593
123930
121433
117044
116311
113899
121595
120687
120754
122123
124536
128255
143759
160613
166541
170417
176124
187423
196181
226731
237674
255831
282548
304472
353604
378152
435757
462592
530191
559356
638068
669323
704055
759221
816744
855775
969076
1004125
1039612
1103836
1136574
1270887
1289855
1305108
1315618
1359838
1355000
1478914
1448003
1410332
