Počet mrtvých
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
3
3
3
3
3
3
4
5
7
8
9
10
11
12
12
13
16
17
18
20
22
23
33
35
47
52
61
66
69
78
81
89
98
114
129
140
156
176
190
210
240
273
303
324
358
397
429
478
534
597
671
754
855
940
1022
1120
1251
1380
1551
1735
1899
2120
2346
2600
2898
3217
3554
3898
4342
4803
5313
5890
6493
7216
7981
8767
9651
10649
11732
12803
13979
15254
16568
17999
19553
21148
22829
24621
26416
28263
30206
32136
34066
35941
37875
39708
41588
43460
45170
46769
48235
49526
50761
51818
52764
53506
54150
54718
55180
55597
55883
56203
56470
56750
57077
57416
57781
58203
58700
59294
59943
60588
61286
61961
62723
63425
64164
64777
65262
65709
66067
66595
66702
66947
66947
66998
66998
66998
66998
66998
66998
66998
67022
67102
67102
67102
67345
67447
67711
67865
68103
68255
68468
68586
68737
68835
68927
68960
69109
69125
69125
69163
69163
69164
69164
69164
69164
69227
69309
69444
69543
69782
69782
70098
70339
70522
70841
70884
71347
71410
71937
71947
72483
72483
73162
73708
74362
74710
75443
