Počet nakažených
1
1
2
2
3
4
5
6
8
10
15
20
26
33
44
52
60
75
92
118
140
167
198
241
281
322
367
419
482
558
637
734
861
995
1172
1330
1542
1690
1991
2222
2618
2939
3417
3829
4493
5037
5665
6295
7003
7826
8642
9690
10710
11916
13126
14587
16087
17825
19619
21784
24106
26803
29648
32854
36426
40310
44773
49658
55110
61221
68038
75521
83938
93123
103640
114718
127250
141020
156387
173726
192583
213478
236323
261749
289558
319869
353315
390293
430746
475496
524181
577879
636145
699364
768208
842666
923162
1010319
1103865
1204736
1311718
1425887
1547361
1673688
1807085
1946675
2091386
2240320
2393033
2547966
2703706
2859315
3013516
3164089
3310709
3451389
3584052
3710103
3825557
3930920
4025314
4108261
4180350
4241617
4293805
4337443
4373340
4403523
4428833
4451081
4472907
4493086
4516751
4542886
4573177
4608324
4648402
4692848
4742009
4793690
4848395
4903950
4960179
5015375
5066397
5115918
5158007
5193489
5220858
5259735
5269525
5288335
5246953
5252108
5248970
5240586
5190094
5140704
5119806
5108611
5109446
5112362
5112655
5105592
5124222
5131185
5154082
5165857
5185103
5199305
5215858
5224938
5236979
5245504
5255057
5260272
5269990
5271381
5264045
5267964
5256059
5255457
5247695
5235107
5220331
5225964
5232594
5243469
5250089
5266083
5258817
5283000
5304786
5318323
5344481
5347694
5380646
5385474
5426598
5426825
5470442
5466940
5521433
5570301
5620798
5651825
5710922
5708809
5779307
5878397
5924129
6033636
6008954
6142595
6237513
6380710
6434233
6538900
6509190
6647842
6757326
