Počet imunních
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
2
3
4
5
7
9
14
19
25
32
43
51
59
73
88
114
136
163
194
237
276
316
359
410
472
547
625
721
848
981
1155
1312
1523
1669
1968
2198
2584
2903
3369
3776
4431
4970
5595
6216
6921
7736
8543
9575
10580
11775
12969
14410
15896
17614
19378
21510
23802
26478
29289
32456
35996
39831
44238
49060
54438
60466
67182
74580
82915
92002
102388
113337
125698
139284
154487
171605
190236
210877
233424
258531
286003
315970
348972
385489
425432
469605
517687
570662
628162
690595
758554
832013
911425
997510
1089878
1189472
1295135
1407868
1527782
1652507
1784212
1922002
2064910
2211983
2362738
2515715
2669503
2823210
2975446
3124143
3268844
3407612
3538522
3662923
3776849
3880846
3973927
4055721
4126737
4187129
4238499
4281412
4316636
4346256
4370981
4392679
4413852
4433432
4456304
4481693
4510964
4545150
4584106
4627337
4675144
4725365
4778565
4832413
4886875
4940174
4989263
5036730
5076848
5110165
5135412
5171629
5179020
5194909
5192098
5194035
5190536
5186701
5182294
5177472
5172094
5166066
5160878
5156316
5149010
5139923
5147924
5143836
5154108
5152143
5155948
5152880
5150589
5138910
5128253
5111573
5093562
5068777
5045344
5010202
4970259
4929967
4881885
4829539
4772039
4709606
4641647
4573758
4500894
4425549
4339702
4255863
4150200
4061334
3962965
3851594
3745728
3611108
3500689
3358381
3248223
3095604
2984897
2831190
2732768
2632393
2537535
2429446
2356900
