Počet zdravých
10600000
10600000
10600000
10600000
10600000
10600000
10600000
10600000
10600000
10599999
10599999
10599999
10599998
10599997
10599996
10599996
10599996
10599996
10599995
10599995
10599995
10599995
10599993
10599992
10599991
10599989
10599983
10599979
10599976
10599970
10599966
10599959
10599947
10599937
10599924
10599905
10599886
10599857
10599820
10599780
10599723
10599657
10599587
10599489
10599367
10599252
10599078
10598878
10598622
10598332
10597940
10597464
10596890
10596139
10595200
10594070
10592726
10590988
10588851
10586215
10583027
10579124
10574259
10568157
10560527
10551121
10539915
10525872
10508443
10487126
10461063
10428900
10389303
10341084
10281672
10208855
10120441
10013217
9883538
9727121
9538979
9315923
9051912
8743120
8386027
7979143
7521004
7016898
6469116
5891207
5294785
4694955
4109747
3552267
3036025
2571313
2162600
1810675
1513053
1265254
1062446
897348
763755
656494
571044
502019
446198
401161
364118
333096
306420
282675
260973
240797
221983
204642
188539
173645
159955
147443
135682
124761
114800
105659
96978
88991
81843
75104
69109
63573
58553
53796
49482
45529
42006
38798
35801
32989
30381
28042
25950
23866
22036
20360
18806
17371
16040
14957
13928
12917
12110
11303
10653
10072
9671
9336
9173
9152
9330
9639
10122
10946
12083
13667
15622
18021
21198
25321
30457
36882
44526
54170
66421
81116
99212
121372
148804
182169
223161
273437
334209
407583
495252
600049
725534
871377
1041285
1235472
1453832
1692403
1947296
2209390
2468739
2706791
2907470
3052343
3122226
3103930
2990033
2781341
2487467
2122842
1740229
1416571
1145771
922608
743347
599205
484199
393413
321770
265787
220909
185451
157224
134863
138130
140003
141082
140783
139269
