Počet nakažených
1
1
1
1
1
1
1
1
1
2
2
2
3
4
5
5
5
5
6
6
6
6
8
8
9
11
16
19
21
27
31
38
49
59
72
91
108
136
172
210
262
324
391
483
601
709
872
1062
1305
1576
1951
2399
2937
3650
4537
5605
6882
8528
10547
13075
16100
19813
24435
30266
37521
46479
57147
70477
87019
107268
132054
162571
200149
245840
302227
371331
455123
556516
678940
826399
1003873
1213599
1461068
1749611
2081918
2458285
2878846
3337261
3828656
4337461
4850091
5348528
5811312
6221333
6560101
6815087
6976331
7039713
7005028
6876460
6658707
6365390
6007588
5606044
5178864
4749452
4342489
3977505
3675780
3451816
3317248
3277611
3299313
3319490
3338304
3355645
3371749
3386643
3400334
3412846
3424607
3435528
3445490
3454631
3463312
3471299
3456747
3443310
3430492
3418689
3407610
3397477
3388103
3379550
3371316
3363610
3356655
3350336
3344276
3338645
3340754
3342865
3344730
3346444
3348050
3349544
3350940
3352113
3353260
3354378
3355348
3356345
3357230
3358078
3356742
3355406
3354238
3353254
3352348
3351589
3350973
3350600
3350317
3350117
3350177
3350444
3350959
3351743
3353762
3356180
3359056
3362573
3366673
3371971
3378334
3386318
3395995
3407765
3422319
3439993
3461388
3487354
3518510
3556858
3603767
3661476
3731750
3817076
3920525
4045469
4196132
4374776
4585977
4832611
5116703
5438082
5793967
6178758
6580205
6983085
7365919
7707872
7987036
8185749
8305886
8350405
8318464
8215972
8046885
7816292
7532050
7203242
6846672
6479250
6124643
5805051
5544009
5363336
5260708
5233590
5250987
