Počet imunních
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
1
2
2
3
3
3
3
4
4
4
4
6
7
8
10
15
19
22
28
32
39
49
59
72
89
106
133
168
206
258
317
382
472
590
697
860
1050
1285
1552
1924
2364
2898
3607
4485
5529
6792
8416
10417
12919
15904
19567
24144
29899
37054
45897
56417
69578
85929
105922
130381
160525
197634
242769
298390
366607
449289
549413
670257
815820
991090
1198159
1442441
1727252
2055424
2426923
2842156
3294664
3779768
4282128
4788294
5280512
5737436
6142279
6476738
6728635
6887869
6950523
6950523
6950522
6950522
6950522
6950521
6950521
6950520
6950520
6950520
6950520
6950519
6950519
6950519
6950519
6971908
6991821
7010409
7027511
7043394
7058080
7071584
7083920
7095529
7106310
7116129
7125157
7133724
7141585
7141568
7141541
7141506
7141468
7141416
7141357
7141292
7141202
7141084
7140977
7140814
7140624
7140389
7140122
7141829
7143480
7144791
7145774
7146482
7146907
7147019
7146553
7145690
7144298
7142269
7139590
7135892
7130979
7123824
7114981
7104461
7091300
7074949
7054956
7030497
7000353
6963244
6918109
6862563
6794608
6712436
6613090
6494238
6351071
6178639
5975050
5734811
5455222
5133330
4769720
4364049
3923168
3452432
2967548
2482511
2015930
1589749
1222761
934606
739701
649825
671404
773566
896893
1045678
1222062
1430647
1674136
1954587
2271999
2623360
3003297
3399762
3797583
4175590
4513247
4767556
4943811
5043884
5070757
5054874
